Data	Label
the closest agreement with what she had known of his opinion of Harriet . He praised her for being without art or affectation , for having simple , honest , generous , feelings .-- She knew that he saw such recommendations in Harriet ; he had dwelt on them to her more than once .-- Much that lived in Harriet ' s memory , many little particulars of the notice she had received from him , a look , a speech , a removal from one chair to another , a compliment implied , a preference inferred , had been	s
-- but still , from family attachment and habit , and thorough excellence of mind , he had loved her , and watched over her from a girl , with an endeavour to improve her , and an anxiety for her doing right , which no other creature had at all shared . In spite of all her faults , she knew she was dear to him ; might she not say , very dear ?-- When the suggestions of hope , however , which must follow here , presented themselves , she could not presume to indulge them .	s
than she is disposed to blame herself . ` The consequence ,' said she , ` has been a state of perpetual suffering to me ; and so it ought . But after all the punishment that misconduct can bring , it is still not less misconduct . Pain is no expiation . I never can be blameless . I have been acting contrary to all my sense of right ; and the fortunate turn that every thing has taken , and the kindness I am now receiving , is what my conscience tells me ought not to be .'	s
" The feelings of the warmest friendship -- Indignation -- Abominable scoundrel !"-- And in a louder , steadier tone , he concluded with , " He will soon be gone . They will soon be in Yorkshire . I am sorry for _her_ . She deserves a better fate ." Emma understood him ; and as soon as she could recover from the flutter of pleasure , excited by such tender consideration , replied , " You are very kind -- but you are mistaken -- and I must set you right .-- I am not in want of	s
no selfish view , no view at all , but of endeavouring , if she allowed him an opening , to soothe or to counsel her .-- The rest had been the work of the moment , the immediate effect of what he heard , on his feelings . The delightful assurance of her total indifference towards Frank Churchill , of her having a heart completely disengaged from him , had given birth to the hope , that , in time , he might gain her affection himself ;-- but it had been no present hope -- he had only	s
.-- The Box Hill party had decided him on going away . He would save himself from witnessing again such permitted , encouraged attentions .-- He had gone to learn to be indifferent .-- But he had gone to a wrong place . There was too much domestic happiness in his brother ' s house ; woman wore too amiable a form in it ; Isabella was too much like Emma -- differing only in those striking inferiorities , which always brought the other in brilliancy before him , for much to have been done , even had his time	s
the honour , my dear madam , of being your husband ' s son , and the advantage of inheriting a disposition to hope for good , which no inheritance of houses or lands can ever equal the value of .-- See me , then , under these circumstances , arriving on my first visit to Randalls ;-- and here I am conscious of wrong , for that visit might have been sooner paid . You will look back and see that I did not come till Miss Fairfax was in Highbury ; and as _you_ were the person slighted	s
one respect , my good fortune is undoubted , that of being able to subscribe myself , Your obliged and affectionate Son , F . C . WESTON CHURCHILL . CHAPTER XV This letter must make its way to Emma ' s feelings . She was obliged , in spite of her previous determination to the contrary , to do it all the justice that Mrs . Weston foretold . As soon as she came to her own name , it was irresistible ; every line relating to herself was interesting , and almost every line agreeable ; and when	s
s disposition :'-- he is unjust , however , to his father . Mr . Weston ' s sanguine temper was a blessing on all his upright and honourable exertions ; but Mr . Weston earned every present comfort before he endeavoured to gain it .-- Very true ; he did not come till Miss Fairfax was here ." " And I have not forgotten ," said Emma , " how sure you were that he might have come sooner if he would . You pass it over very handsomely -- but you were perfectly right ." " I was	s
herself , poor Harriet must , in mere charitable caution , be kept at a distance from . She would be a loser in every way . Emma could not deplore her future absence as any deduction from her own enjoyment . In such a party , Harriet would be rather a dead weight than otherwise ; but for the poor girl herself , it seemed a peculiarly cruel necessity that was to be placing her in such a state of unmerited punishment . In time , of course , Mr . Knightley would be forgotten , that is ,	s
